pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
44.2,-33.1,-90.0,top,C1,,,C_0402_1005Metric,1uF,smt
37.7,-27.0,90.0,top,C2,,,C_0402_1005Metric,1uF,smt
44.6,-29.32,90.0,top,C3,,,C_0402_1005Metric,1uF,smt
45.125,-37.9,0.0,top,C4,,,C_0603_1608Metric,10uF,smt
29.1,-37.6,-90.0,top,C5,,,C_0603_1608Metric,1uF,smt
34.7,-37.6,-90.0,top,C6,,,C_0603_1608Metric,1uF,smt
47.8,-35.7,0.0,top,C7,,,C_0504_1310Metric,100nF,smt
58.525,-32.95,90.0,top,D1,,,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,SK6812MINI,smt
58.525,-27.05,90.0,top,D2,,,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,SK6812MINI,smt
26.0,-36.8,0.0,top,F1,,,Fuse_1206_3216Metric,500mA,smt
68.2,-26.19,0.0,top,J1,,,PinHeader_1x04_P2.54mm_Vertical,Conn_01x04_Pin,tht
24.3,-30.0,-90.0,top,J2,,,USB_C_Receptacle_Palconn_UTC16-G,USB_C_Receptacle_USB2.0_16P,smt
35.78,-30.2,180.0,bottom,R1,,,R_0201_0603Metric,22,smt
35.8,-30.9,0.0,top,R2,,,R_0201_0603Metric,22,smt
24.5,-28.75,180.0,bottom,R3,,,R_0201_0603Metric,5.1k,smt
24.6,-31.6,180.0,bottom,R4,,,R_0201_0603Metric,5.1k,smt
52.7,-32.8,90.0,top,R5,,,R_0402_1005Metric,4.7k,smt
52.7,-35.75,90.0,top,R6,,,R_0402_1005Metric,4.7k,smt
43.6,-35.4,180.0,top,R7,,,R_0402_1005Metric,4.7k,smt
42.4,-34.2,180.0,top,R8,,,R_0402_1005Metric,4.7k,smt
50.731575,-37.8,180.0,top,R9,,,R_0603_1608Metric,10k,smt
46.91,-33.25,90.0,top,TP1,,,PinHeader_1x02_P1.00mm_Vertical,TestPoint_2Pole,tht
40.95,-30.0625,180.0,top,U1,,,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,STM32L432KBUx,smt
40.275,-36.625,0.0,top,U2,,,DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm,ATECC608A-MAHDA,smt
30.1,-33.5,-90.0,top,U3,,,SOT-23-6,USBLC6-2SC6,smt
31.9,-37.6,0.0,top,U4,,,SOT-23-5,TLV75533PDBV,smt
